time,open,high,low,close,volume
2025-12-30 21:35:00+00:00,1.17465,1.1747,1.17464,1.17466,24
2025-12-30 21:40:00+00:00,1.17464,1.17468,1.17457,1.17464,65
2025-12-30 21:45:00+00:00,1.17466,1.17476,1.17464,1.17474,110
2025-12-30 21:50:00+00:00,1.17473,1.1748,1.17466,1.1747,131
2025-12-30 21:55:00+00:00,1.17468,1.17488,1.17465,1.1748,104
2025-12-30 22:00:00+00:00,1.17466,1.17466,1.17464,1.17464,2
2025-12-30 22:05:00+00:00,1.17458,1.17478,1.17458,1.17472,25
2025-12-30 22:10:00+00:00,1.17468,1.17488,1.17466,1.17484,42
2025-12-30 22:15:00+00:00,1.17484,1.17488,1.17483,1.17488,24
2025-12-30 22:20:00+00:00,1.17484,1.1749,1.17484,1.1749,13
2025-12-30 22:25:00+00:00,1.17488,1.1749,1.17485,1.17487,24
2025-12-30 22:30:00+00:00,1.17486,1.17488,1.17482,1.17482,35
2025-12-30 22:35:00+00:00,1.17485,1.17485,1.17482,1.17482,14
2025-12-30 22:40:00+00:00,1.17484,1.17485,1.17478,1.1748,28
2025-12-30 22:45:00+00:00,1.17479,1.17483,1.17466,1.17469,79
2025-12-30 22:50:00+00:00,1.17468,1.1747,1.17464,1.1747,40
2025-12-30 22:55:00+00:00,1.1747,1.17474,1.17458,1.17466,119
2025-12-30 23:00:00+00:00,1.17464,1.1748,1.17452,1.17479,156
2025-12-30 23:05:00+00:00,1.17478,1.1748,1.17477,1.17479,35
2025-12-30 23:10:00+00:00,1.1748,1.17492,1.17476,1.1749,107
2025-12-30 23:15:00+00:00,1.1749,1.1749,1.17472,1.17475,71
2025-12-30 23:20:00+00:00,1.17474,1.17481,1.1747,1.17476,46
2025-12-30 23:25:00+00:00,1.17477,1.17481,1.17472,1.17476,52
2025-12-30 23:30:00+00:00,1.17476,1.17478,1.17465,1.17467,37
2025-12-30 23:35:00+00:00,1.17468,1.17468,1.17459,1.17462,45
2025-12-30 23:40:00+00:00,1.17461,1.17466,1.17461,1.17463,37
2025-12-30 23:45:00+00:00,1.17462,1.17462,1.17456,1.17457,76
2025-12-30 23:50:00+00:00,1.17456,1.17464,1.17456,1.17462,59
2025-12-30 23:55:00+00:00,1.17465,1.17469,1.17456,1.17456,72
2025-12-31 00:00:00+00:00,1.17457,1.17466,1.17448,1.17463,118
2025-12-31 00:05:00+00:00,1.17462,1.17474,1.17456,1.17474,72
2025-12-31 00:10:00+00:00,1.17473,1.17476,1.17471,1.17472,107
2025-12-31 00:15:00+00:00,1.17472,1.17476,1.17458,1.17462,139
2025-12-31 00:20:00+00:00,1.17461,1.17474,1.17461,1.17474,91
2025-12-31 00:25:00+00:00,1.17474,1.17476,1.17472,1.17474,80
2025-12-31 00:30:00+00:00,1.17474,1.17475,1.17462,1.17462,76
2025-12-31 00:35:00+00:00,1.17463,1.17464,1.17451,1.17454,148
2025-12-31 00:40:00+00:00,1.17456,1.17462,1.17451,1.17454,103
2025-12-31 00:45:00+00:00,1.17454,1.17458,1.17444,1.1745,181
2025-12-31 00:50:00+00:00,1.1745,1.17464,1.17446,1.17464,241
2025-12-31 00:55:00+00:00,1.17464,1.17478,1.17463,1.17473,153
2025-12-31 01:00:00+00:00,1.17474,1.17482,1.17456,1.17457,329
2025-12-31 01:05:00+00:00,1.17456,1.17476,1.17454,1.17471,202
2025-12-31 01:10:00+00:00,1.1747,1.17476,1.17458,1.17476,221
2025-12-31 01:15:00+00:00,1.17475,1.17491,1.17474,1.1748,293
2025-12-31 01:20:00+00:00,1.1748,1.17488,1.17472,1.17474,144
2025-12-31 01:25:00+00:00,1.17474,1.17476,1.17461,1.17471,156
2025-12-31 01:30:00+00:00,1.1747,1.1747,1.17448,1.1746,263
2025-12-31 01:35:00+00:00,1.17462,1.17481,1.17456,1.17472,189
2025-12-31 01:40:00+00:00,1.17473,1.17476,1.1745,1.17451,181
2025-12-31 01:45:00+00:00,1.17452,1.17476,1.17449,1.17453,219
2025-12-31 01:50:00+00:00,1.17454,1.17469,1.1745,1.1746,353
2025-12-31 01:55:00+00:00,1.1746,1.17472,1.17419,1.17426,412
2025-12-31 02:00:00+00:00,1.17424,1.17427,1.17411,1.17412,400
2025-12-31 02:05:00+00:00,1.17412,1.17414,1.17388,1.17405,372
