market,signal,time,entry_price,position_lots,risk_amount,stop_distance,highest_ratio,potential_profit,take_profit_ratio,actual_profit,position_status,take_profit_hit,stop_loss_hit
BEAR,SELL,"Jan 04, 02:55PM",1.17116,2.28,$300,14.2 pips,2.78:1,$897.49,1.0:1,$322.78,TP_HIT,YES,NO
BEAR,SELL,"Jan 05, 01:40AM",1.16757,1.55,$300,20.3 pips,0.81:1,$255.91,1.0:1,$-283.83,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 05, 01:40PM",1.17206,3.30,$300,10.1 pips,0.99:1,$329.57,1.0:1,$6.59,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 05, 09:50PM",1.17300,3.91,$300,8.7 pips,0.31:1,$105.52,1.0:1,$-300.00,SL_HIT,NO,YES
BEAR,SELL,"Jan 05, 11:55PM",1.17291,2.00,$300,16.0 pips,2.00:1,$638.80,1.0:1,$320.03,TP_HIT,YES,NO
BEAR,SELL,"Jan 06, 07:10AM",1.16958,1.15,$300,27.0 pips,0.44:1,$135.95,1.0:1,$-62.21,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 06, 10:50AM",1.16874,1.85,$300,17.2 pips,0.20:1,$62.96,1.0:1,$-68.51,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 06, 08:50PM",1.16934,2.98,$300,11.1 pips,0.23:1,$74.59,1.0:1,$-167.08,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 06, 11:30PM",1.16864,1.90,$300,16.8 pips,0.80:1,$256.61,1.0:1,$-114.05,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 07, 10:55AM",1.16830,2.52,$300,12.9 pips,0.79:1,$257.45,1.0:1,$80.77,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 08, 12:15AM",1.16739,3.01,$300,11.0 pips,2.85:1,$941.48,1.0:1,$330.08,TP_HIT,YES,NO
BEAR,SELL,"Jan 08, 04:10PM",1.16550,5.09,$300,6.9 pips,1.31:1,$457.96,1.0:1,$350.88,TP_HIT,YES,NO
BEAR,SELL,"Jan 08, 09:35PM",1.16508,4.28,$300,8.0 pips,3.15:1,$1079.60,1.0:1,$342.84,TP_HIT,YES,NO
BEAR,SELL,"Jan 09, 06:25AM",1.16382,1.10,$300,28.4 pips,0.70:1,$219.18,1.0:1,$-13.15,MARKET_CLOSE,NO,NO
