market,signal,time,entry_price,stop_loss_price,take_profit_price,position_lots,risk_amount,original_stop_pips,buffer_pips,adjusted_stop_pips,take_profit_ratio,highest_ratio,potential_profit,actual_profit,position_status,take_profit_hit,stop_loss_hit
BEAR,SELL,"Jan 04, 02:55PM",1.17116,1.17285,1.16947,2.28,$300,13.2,3,16.9,1.0:1,2.33:1,$897.49,$385.42,TP_HIT,YES,NO
BEAR,SELL,"Jan 05, 01:40AM",1.16757,1.16988,1.16526,1.55,$300,19.3,3,23.1,1.0:1,0.71:1,$255.91,$-283.83,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 05, 01:40PM",1.17206,1.17335,1.17077,3.30,$300,9.1,3,12.9,1.0:1,0.78:1,$329.57,$6.59,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 05, 09:50PM",1.17300,1.17414,1.17186,3.91,$300,7.7,3,11.4,1.0:1,0.24:1,$105.52,$-414.27,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 05, 11:55PM",1.17291,1.17478,1.17104,2.00,$300,15.0,3,18.7,1.0:1,1.70:1,$638.80,$375.09,TP_HIT,YES,NO
BEAR,SELL,"Jan 06, 07:10AM",1.16958,1.17256,1.16660,1.15,$300,26.0,3,29.8,1.0:1,0.40:1,$135.95,$-62.21,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 06, 10:50AM",1.16874,1.17074,1.16674,1.85,$300,16.2,3,20.0,1.0:1,0.17:1,$62.96,$-68.51,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 06, 08:50PM",1.16934,1.17072,1.16796,2.98,$300,10.1,3,13.8,1.0:1,0.18:1,$74.59,$-167.08,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 06, 11:30PM",1.16864,1.17059,1.16669,1.90,$300,15.8,3,19.5,1.0:1,0.69:1,$256.61,$-114.05,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 07, 10:55AM",1.16830,1.16986,1.16674,2.52,$300,11.9,3,15.6,1.0:1,0.65:1,$257.45,$80.77,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 08, 12:15AM",1.16739,1.16876,1.16602,3.01,$300,10.0,3,13.7,1.0:1,2.28:1,$941.48,$412.80,TP_HIT,YES,NO
BEAR,SELL,"Jan 08, 04:10PM",1.16550,1.16646,1.16454,5.09,$300,5.9,3,9.6,1.0:1,0.93:1,$457.96,$-106.86,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 08, 09:35PM",1.16508,1.16616,1.16400,4.28,$300,7.0,3,10.8,1.0:1,2.34:1,$1079.60,$460.66,TP_HIT,YES,NO
BEAR,SELL,"Jan 09, 06:25AM",1.16382,1.16693,1.16071,1.10,$300,27.4,3,31.1,1.0:1,0.64:1,$219.18,$-13.15,MARKET_CLOSE,NO,NO
